"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 27 10:56:26 GMT 2024","Tue Feb 27 10:56:42 GMT 2024","16577","","Cars","","","","Car 007",""
"failed","Tue Feb 27 10:56:42 GMT 2024","Tue Feb 27 10:57:00 GMT 2024","17670","","Cars","","","","Car 008",""
"failed","Tue Feb 27 10:55:15 GMT 2024","Tue Feb 27 10:55:33 GMT 2024","17803","","Cars","","","","Car 003",""
"failed","Tue Feb 27 10:57:17 GMT 2024","Tue Feb 27 10:57:34 GMT 2024","17646","","Cars","","","","Car 010",""
"passed","Tue Feb 27 10:55:53 GMT 2024","Tue Feb 27 10:56:09 GMT 2024","16614","","Cars","","","","Car 005",""
"failed","Tue Feb 27 10:55:33 GMT 2024","Tue Feb 27 10:55:53 GMT 2024","19496","","Cars","","","","Car 004",""
"passed","Tue Feb 27 10:57:00 GMT 2024","Tue Feb 27 10:57:17 GMT 2024","16545","","Cars","","","","Car 009",""
"passed","Tue Feb 27 10:54:58 GMT 2024","Tue Feb 27 10:55:15 GMT 2024","16678","","Cars","","","","Car 002",""
"passed","Tue Feb 27 10:56:09 GMT 2024","Tue Feb 27 10:56:26 GMT 2024","16536","","Cars","","","","Car 006",""
"passed","Tue Feb 27 10:54:41 GMT 2024","Tue Feb 27 10:54:58 GMT 2024","17644","","Cars","","","","Car 001",""
