"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Config Car","No Package","2","0","2","0","0"
"","Config Car","Gomera","1","0","2","0","0"
"","Config Car","Luxus","1","0","2","0","0"
