"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 25 22:00:54 GMT 2024","Sun Feb 25 22:01:10 GMT 2024","15811","","Cars","","","","Car 007",""
"failed","Sun Feb 25 22:00:04 GMT 2024","Sun Feb 25 22:00:21 GMT 2024","16874","","Cars","","","","Car 004",""
"passed","Sun Feb 25 22:00:38 GMT 2024","Sun Feb 25 22:00:54 GMT 2024","15794","","Cars","","","","Car 006",""
"passed","Sun Feb 25 22:01:27 GMT 2024","Sun Feb 25 22:01:43 GMT 2024","15881","","Cars","","","","Car 009",""
"failed","Sun Feb 25 22:01:43 GMT 2024","Sun Feb 25 22:02:00 GMT 2024","16934","","Cars","","","","Car 010",""
"passed","Sun Feb 25 21:59:13 GMT 2024","Sun Feb 25 21:59:29 GMT 2024","16209","","Cars","","","","Car 001",""
"failed","Sun Feb 25 21:59:47 GMT 2024","Sun Feb 25 22:00:04 GMT 2024","16862","","Cars","","","","Car 003",""
"failed","Sun Feb 25 22:01:10 GMT 2024","Sun Feb 25 22:01:27 GMT 2024","16925","","Cars","","","","Car 008",""
"failed","Sun Feb 25 21:59:29 GMT 2024","Sun Feb 25 21:59:47 GMT 2024","18399","","Cars","","","","Car 002",""
"failed","Sun Feb 25 22:00:21 GMT 2024","Sun Feb 25 22:00:38 GMT 2024","16856","","Cars","","","","Car 005",""
