"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 22 21:29:18 GMT 2024","Thu Feb 22 21:29:33 GMT 2024","15228","","Cars","","","","Car 006",""
"failed","Thu Feb 22 21:28:13 GMT 2024","Thu Feb 22 21:28:29 GMT 2024","16383","","Cars","","","","Car 002",""
"failed","Thu Feb 22 21:30:21 GMT 2024","Thu Feb 22 21:30:37 GMT 2024","16318","","Cars","","","","Car 010",""
"passed","Thu Feb 22 21:27:57 GMT 2024","Thu Feb 22 21:28:12 GMT 2024","15668","","Cars","","","","Car 001",""
"failed","Thu Feb 22 21:28:29 GMT 2024","Thu Feb 22 21:28:45 GMT 2024","16406","","Cars","","","","Car 003",""
"passed","Thu Feb 22 21:29:33 GMT 2024","Thu Feb 22 21:29:49 GMT 2024","15728","","Cars","","","","Car 007",""
"failed","Thu Feb 22 21:29:49 GMT 2024","Thu Feb 22 21:30:05 GMT 2024","16354","","Cars","","","","Car 008",""
"failed","Thu Feb 22 21:28:45 GMT 2024","Thu Feb 22 21:29:02 GMT 2024","16341","","Cars","","","","Car 004",""
"failed","Thu Feb 22 21:29:02 GMT 2024","Thu Feb 22 21:29:18 GMT 2024","16392","","Cars","","","","Car 005",""
"passed","Thu Feb 22 21:30:06 GMT 2024","Thu Feb 22 21:30:21 GMT 2024","15343","","Cars","","","","Car 009",""
