"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Feb 25 19:52:24 GMT 2024","Sun Feb 25 19:52:41 GMT 2024","17772","","Cars","","","","Car 003",""
"failed","Sun Feb 25 19:54:29 GMT 2024","Sun Feb 25 19:54:48 GMT 2024","19311","","Cars","","","","Car 010",""
"failed","Sun Feb 25 19:52:07 GMT 2024","Sun Feb 25 19:52:24 GMT 2024","17058","","Cars","","","","Car 002",""
"failed","Sun Feb 25 19:52:42 GMT 2024","Sun Feb 25 19:52:59 GMT 2024","17650","","Cars","","","","Car 004",""
"passed","Sun Feb 25 19:53:17 GMT 2024","Sun Feb 25 19:53:36 GMT 2024","19060","","Cars","","","","Car 006",""
"failed","Sun Feb 25 19:52:59 GMT 2024","Sun Feb 25 19:53:17 GMT 2024","18031","","Cars","","","","Car 005",""
"passed","Sun Feb 25 19:54:12 GMT 2024","Sun Feb 25 19:54:29 GMT 2024","16487","","Cars","","","","Car 009",""
"passed","Sun Feb 25 19:53:36 GMT 2024","Sun Feb 25 19:53:54 GMT 2024","17759","","Cars","","","","Car 007",""
"passed","Sun Feb 25 19:51:51 GMT 2024","Sun Feb 25 19:52:07 GMT 2024","15943","","Cars","","","","Car 001",""
"failed","Sun Feb 25 19:53:54 GMT 2024","Sun Feb 25 19:54:12 GMT 2024","18293","","Cars","","","","Car 008",""
