"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Config Car","Luxus","1","0","2","0","0"
"","Config Car","No Package","2","0","2","0","0"
"","Config Car","Gomera","3","0","0","0","0"
