"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Mar 13 16:18:20 GMT 2024","Wed Mar 13 16:18:36 GMT 2024","16886","","Cars","","","","Car 002",""
"passed","Wed Mar 13 16:19:43 GMT 2024","Wed Mar 13 16:19:58 GMT 2024","15692","","Cars","","","","Car 007",""
"failed","Wed Mar 13 16:20:31 GMT 2024","Wed Mar 13 16:20:48 GMT 2024","16868","","Cars","","","","Car 010",""
"failed","Wed Mar 13 16:18:53 GMT 2024","Wed Mar 13 16:19:10 GMT 2024","16835","","Cars","","","","Car 004",""
"passed","Wed Mar 13 16:19:27 GMT 2024","Wed Mar 13 16:19:43 GMT 2024","15731","","Cars","","","","Car 006",""
"passed","Wed Mar 13 16:20:15 GMT 2024","Wed Mar 13 16:20:31 GMT 2024","15696","","Cars","","","","Car 009",""
"passed","Wed Mar 13 16:18:03 GMT 2024","Wed Mar 13 16:18:20 GMT 2024","16113","","Cars","","","","Car 001",""
"failed","Wed Mar 13 16:19:10 GMT 2024","Wed Mar 13 16:19:27 GMT 2024","16727","","Cars","","","","Car 005",""
"failed","Wed Mar 13 16:18:37 GMT 2024","Wed Mar 13 16:18:53 GMT 2024","16787","","Cars","","","","Car 003",""
"failed","Wed Mar 13 16:19:58 GMT 2024","Wed Mar 13 16:20:15 GMT 2024","16775","","Cars","","","","Car 008",""
