"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Feb 18 16:42:03 GMT 2024","Sun Feb 18 16:42:20 GMT 2024","17756","","Cars","","","","Car 004",""
"failed","Sun Feb 18 16:42:20 GMT 2024","Sun Feb 18 16:42:38 GMT 2024","17791","","Cars","","","","Car 005",""
"passed","Sun Feb 18 16:41:10 GMT 2024","Sun Feb 18 16:41:27 GMT 2024","17037","","Cars","","","","Car 001",""
"failed","Sun Feb 18 16:41:45 GMT 2024","Sun Feb 18 16:42:03 GMT 2024","17771","","Cars","","","","Car 003",""
"passed","Sun Feb 18 16:42:55 GMT 2024","Sun Feb 18 16:43:12 GMT 2024","16673","","Cars","","","","Car 007",""
"failed","Sun Feb 18 16:43:46 GMT 2024","Sun Feb 18 16:44:04 GMT 2024","17703","","Cars","","","","Car 010",""
"passed","Sun Feb 18 16:43:29 GMT 2024","Sun Feb 18 16:43:46 GMT 2024","16625","","Cars","","","","Car 009",""
"failed","Sun Feb 18 16:43:12 GMT 2024","Sun Feb 18 16:43:29 GMT 2024","17759","","Cars","","","","Car 008",""
"passed","Sun Feb 18 16:42:38 GMT 2024","Sun Feb 18 16:42:55 GMT 2024","16679","","Cars","","","","Car 006",""
"failed","Sun Feb 18 16:41:27 GMT 2024","Sun Feb 18 16:41:45 GMT 2024","17817","","Cars","","","","Car 002",""
