"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 23 22:45:10 GMT 2024","Fri Feb 23 22:45:26 GMT 2024","16715","","Cars","","","","Car 005",""
"passed","Fri Feb 23 22:46:02 GMT 2024","Fri Feb 23 22:46:18 GMT 2024","16632","","Cars","","","","Car 008",""
"passed","Fri Feb 23 22:44:00 GMT 2024","Fri Feb 23 22:44:18 GMT 2024","18693","","Cars","","","","Car 001",""
"passed","Fri Feb 23 22:46:18 GMT 2024","Fri Feb 23 22:46:35 GMT 2024","16741","","Cars","","","","Car 009",""
"passed","Fri Feb 23 22:44:36 GMT 2024","Fri Feb 23 22:44:53 GMT 2024","16681","","Cars","","","","Car 003",""
"passed","Fri Feb 23 22:45:43 GMT 2024","Fri Feb 23 22:46:02 GMT 2024","18724","","Cars","","","","Car 007",""
"passed","Fri Feb 23 22:44:53 GMT 2024","Fri Feb 23 22:45:10 GMT 2024","16688","","Cars","","","","Car 004",""
"passed","Fri Feb 23 22:45:26 GMT 2024","Fri Feb 23 22:45:43 GMT 2024","16725","","Cars","","","","Car 006",""
"passed","Fri Feb 23 22:46:35 GMT 2024","Fri Feb 23 22:46:52 GMT 2024","16674","","Cars","","","","Car 010",""
"failed","Fri Feb 23 22:44:18 GMT 2024","Fri Feb 23 22:44:36 GMT 2024","17744","","Cars","","","","Car 002",""
