"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 18 14:04:06 GMT 2024","Sun Feb 18 14:04:16 GMT 2024","9613","","Cars","","","","Car 010",""
"passed","Sun Feb 18 14:03:18 GMT 2024","Sun Feb 18 14:03:28 GMT 2024","9527","","Cars","","","","Car 005",""
"passed","Sun Feb 18 14:03:47 GMT 2024","Sun Feb 18 14:03:57 GMT 2024","9519","","Cars","","","","Car 008",""
"passed","Sun Feb 18 14:03:38 GMT 2024","Sun Feb 18 14:03:47 GMT 2024","9565","","Cars","","","","Car 007",""
"passed","Sun Feb 18 14:02:59 GMT 2024","Sun Feb 18 14:03:09 GMT 2024","9704","","Cars","","","","Car 003",""
"passed","Sun Feb 18 14:03:28 GMT 2024","Sun Feb 18 14:03:38 GMT 2024","9672","","Cars","","","","Car 006",""
"passed","Sun Feb 18 14:03:57 GMT 2024","Sun Feb 18 14:04:06 GMT 2024","9590","","Cars","","","","Car 009",""
"passed","Sun Feb 18 14:02:40 GMT 2024","Sun Feb 18 14:02:50 GMT 2024","9989","","Cars","","","","Car 001",""
"passed","Sun Feb 18 14:03:09 GMT 2024","Sun Feb 18 14:03:18 GMT 2024","9443","","Cars","","","","Car 004",""
"passed","Sun Feb 18 14:02:50 GMT 2024","Sun Feb 18 14:02:59 GMT 2024","9497","","Cars","","","","Car 002",""
