"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 24 10:39:14 GMT 2024","Sat Feb 24 10:39:31 GMT 2024","17069","","Cars","","","","Car 001",""
"failed","Sat Feb 24 10:41:40 GMT 2024","Sat Feb 24 10:41:56 GMT 2024","16505","","Cars","","","","Car 010",""
"passed","Sat Feb 24 10:40:37 GMT 2024","Sat Feb 24 10:40:52 GMT 2024","15341","","Cars","","","","Car 006",""
"failed","Sat Feb 24 10:40:21 GMT 2024","Sat Feb 24 10:40:37 GMT 2024","16457","","Cars","","","","Car 005",""
"failed","Sat Feb 24 10:39:48 GMT 2024","Sat Feb 24 10:40:04 GMT 2024","16506","","Cars","","","","Car 003",""
"failed","Sat Feb 24 10:40:04 GMT 2024","Sat Feb 24 10:40:21 GMT 2024","16524","","Cars","","","","Car 004",""
"passed","Sat Feb 24 10:41:24 GMT 2024","Sat Feb 24 10:41:40 GMT 2024","15359","","Cars","","","","Car 009",""
"failed","Sat Feb 24 10:39:31 GMT 2024","Sat Feb 24 10:39:48 GMT 2024","16513","","Cars","","","","Car 002",""
"passed","Sat Feb 24 10:40:52 GMT 2024","Sat Feb 24 10:41:08 GMT 2024","15391","","Cars","","","","Car 007",""
"failed","Sat Feb 24 10:41:08 GMT 2024","Sat Feb 24 10:41:24 GMT 2024","16457","","Cars","","","","Car 008",""
