"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Feb 24 09:50:11 GMT 2024","Sat Feb 24 09:50:28 GMT 2024","16586","","Cars","","","","Car 010",""
"failed","Sat Feb 24 09:48:18 GMT 2024","Sat Feb 24 09:48:35 GMT 2024","16703","","Cars","","","","Car 003",""
"passed","Sat Feb 24 09:49:23 GMT 2024","Sat Feb 24 09:49:39 GMT 2024","15459","","Cars","","","","Car 007",""
"failed","Sat Feb 24 09:48:01 GMT 2024","Sat Feb 24 09:48:18 GMT 2024","16901","","Cars","","","","Car 002",""
"passed","Sat Feb 24 09:49:55 GMT 2024","Sat Feb 24 09:50:11 GMT 2024","15473","","Cars","","","","Car 009",""
"passed","Sat Feb 24 09:47:45 GMT 2024","Sat Feb 24 09:48:01 GMT 2024","15865","","Cars","","","","Car 001",""
"failed","Sat Feb 24 09:49:39 GMT 2024","Sat Feb 24 09:49:55 GMT 2024","16538","","Cars","","","","Car 008",""
"failed","Sat Feb 24 09:48:51 GMT 2024","Sat Feb 24 09:49:08 GMT 2024","16525","","Cars","","","","Car 005",""
"passed","Sat Feb 24 09:49:08 GMT 2024","Sat Feb 24 09:49:23 GMT 2024","15349","","Cars","","","","Car 006",""
"failed","Sat Feb 24 09:48:35 GMT 2024","Sat Feb 24 09:48:51 GMT 2024","16607","","Cars","","","","Car 004",""
