"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 18 14:21:13 GMT 2024","Sun Feb 18 14:21:30 GMT 2024","16674","","Cars","","","","Car 009",""
"passed","Sun Feb 18 14:20:22 GMT 2024","Sun Feb 18 14:20:39 GMT 2024","16558","","Cars","","","","Car 006",""
"passed","Sun Feb 18 14:20:39 GMT 2024","Sun Feb 18 14:20:55 GMT 2024","16611","","Cars","","","","Car 007",""
"failed","Sun Feb 18 14:19:47 GMT 2024","Sun Feb 18 14:20:04 GMT 2024","17692","","Cars","","","","Car 004",""
"failed","Sun Feb 18 14:20:04 GMT 2024","Sun Feb 18 14:20:22 GMT 2024","17740","","Cars","","","","Car 005",""
"passed","Sun Feb 18 14:18:54 GMT 2024","Sun Feb 18 14:19:11 GMT 2024","17045","","Cars","","","","Car 001",""
"failed","Sun Feb 18 14:20:55 GMT 2024","Sun Feb 18 14:21:13 GMT 2024","17661","","Cars","","","","Car 008",""
"failed","Sun Feb 18 14:19:11 GMT 2024","Sun Feb 18 14:19:29 GMT 2024","17719","","Cars","","","","Car 002",""
"failed","Sun Feb 18 14:19:29 GMT 2024","Sun Feb 18 14:19:47 GMT 2024","17755","","Cars","","","","Car 003",""
"failed","Sun Feb 18 14:21:30 GMT 2024","Sun Feb 18 14:21:47 GMT 2024","17690","","Cars","","","","Car 010",""
