"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Config Car","No Package","0","0","4","0","0"
"","Config Car","Gomera","2","0","1","0","0"
"","Config Car","Luxus","0","0","3","0","0"
