"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 21 19:14:07 GMT 2024","Wed Feb 21 19:14:26 GMT 2024","19590","","Cars","","","","Car 004",""
"failed","Wed Feb 21 19:13:30 GMT 2024","Wed Feb 21 19:13:49 GMT 2024","19109","","Cars","","","","Car 002",""
"failed","Wed Feb 21 19:14:26 GMT 2024","Wed Feb 21 19:14:47 GMT 2024","21021","","Cars","","","","Car 005",""
"passed","Wed Feb 21 19:14:47 GMT 2024","Wed Feb 21 19:15:07 GMT 2024","20068","","Cars","","","","Car 006",""
"passed","Wed Feb 21 19:13:08 GMT 2024","Wed Feb 21 19:13:30 GMT 2024","21185","","Cars","","","","Car 001",""
"passed","Wed Feb 21 19:15:25 GMT 2024","Wed Feb 21 19:15:43 GMT 2024","17444","","Cars","","","","Car 008",""
"passed","Wed Feb 21 19:15:08 GMT 2024","Wed Feb 21 19:15:25 GMT 2024","17759","","Cars","","","","Car 007",""
"passed","Wed Feb 21 19:13:49 GMT 2024","Wed Feb 21 19:14:07 GMT 2024","17859","","Cars","","","","Car 003",""
"passed","Wed Feb 21 19:15:43 GMT 2024","Wed Feb 21 19:16:01 GMT 2024","17999","","Cars","","","","Car 009",""
"passed","Wed Feb 21 19:16:01 GMT 2024","Wed Feb 21 19:16:18 GMT 2024","16768","","Cars","","","","Car 010",""
