"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Feb 25 19:54:51 GMT 2024","Sun Feb 25 19:55:07 GMT 2024","16653","","Cars","","","","Car 004",""
"failed","Sun Feb 25 19:54:32 GMT 2024","Sun Feb 25 19:54:51 GMT 2024","18453","","Cars","","","","Car 003",""
"failed","Sun Feb 25 19:55:07 GMT 2024","Sun Feb 25 19:55:24 GMT 2024","16493","","Cars","","","","Car 005",""
"passed","Sun Feb 25 19:56:11 GMT 2024","Sun Feb 25 19:56:27 GMT 2024","15410","","Cars","","","","Car 009",""
"failed","Sun Feb 25 19:56:27 GMT 2024","Sun Feb 25 19:56:43 GMT 2024","16502","","Cars","","","","Car 010",""
"passed","Sun Feb 25 19:53:52 GMT 2024","Sun Feb 25 19:54:14 GMT 2024","21613","","Cars","","","","Car 001",""
"passed","Sun Feb 25 19:54:14 GMT 2024","Sun Feb 25 19:54:32 GMT 2024","18421","","Cars","","","","Car 002",""
"passed","Sun Feb 25 19:55:24 GMT 2024","Sun Feb 25 19:55:39 GMT 2024","15410","","Cars","","","","Car 006",""
"passed","Sun Feb 25 19:55:39 GMT 2024","Sun Feb 25 19:55:55 GMT 2024","15458","","Cars","","","","Car 007",""
"failed","Sun Feb 25 19:55:55 GMT 2024","Sun Feb 25 19:56:11 GMT 2024","16627","","Cars","","","","Car 008",""
