"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Feb 26 13:13:25 GMT 2024","Mon Feb 26 13:13:44 GMT 2024","19067","","Cars","","","","Car 010",""
"passed","Mon Feb 26 13:12:31 GMT 2024","Mon Feb 26 13:12:47 GMT 2024","16393","","Cars","","","","Car 007",""
"passed","Mon Feb 26 13:11:42 GMT 2024","Mon Feb 26 13:11:58 GMT 2024","16427","","Cars","","","","Car 004",""
"passed","Mon Feb 26 13:12:15 GMT 2024","Mon Feb 26 13:12:31 GMT 2024","16388","","Cars","","","","Car 006",""
"passed","Mon Feb 26 13:10:50 GMT 2024","Mon Feb 26 13:11:07 GMT 2024","17160","","Cars","","","","Car 001",""
"passed","Mon Feb 26 13:13:06 GMT 2024","Mon Feb 26 13:13:25 GMT 2024","18088","","Cars","","","","Car 009",""
"passed","Mon Feb 26 13:11:25 GMT 2024","Mon Feb 26 13:11:42 GMT 2024","16442","","Cars","","","","Car 003",""
"failed","Mon Feb 26 13:11:07 GMT 2024","Mon Feb 26 13:11:25 GMT 2024","18270","","Cars","","","","Car 002",""
"failed","Mon Feb 26 13:12:47 GMT 2024","Mon Feb 26 13:13:06 GMT 2024","18975","","Cars","","","","Car 008",""
"passed","Mon Feb 26 13:11:58 GMT 2024","Mon Feb 26 13:12:15 GMT 2024","16422","","Cars","","","","Car 005",""
