"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41910","Car 007","","Tue Apr 29 13:46:59 GMT 2025","failed","Tue Apr 29 13:47:41 GMT 2025","","Cars","",""
"","39023","Car 004","","Tue Apr 29 13:45:02 GMT 2025","failed","Tue Apr 29 13:45:41 GMT 2025","","Cars","",""
"","38985","Car 008","","Tue Apr 29 13:47:41 GMT 2025","failed","Tue Apr 29 13:48:20 GMT 2025","","Cars","",""
"","38982","Car 009","","Tue Apr 29 13:48:20 GMT 2025","failed","Tue Apr 29 13:48:59 GMT 2025","","Cars","",""
"","39338","Car 001","","Tue Apr 29 13:43:01 GMT 2025","failed","Tue Apr 29 13:43:40 GMT 2025","","Cars","",""
"","38951","Car 005","","Tue Apr 29 13:45:41 GMT 2025","failed","Tue Apr 29 13:46:20 GMT 2025","","Cars","",""
"","39146","Car 006","","Tue Apr 29 13:46:20 GMT 2025","failed","Tue Apr 29 13:46:59 GMT 2025","","Cars","",""
"","39600","Car 002","","Tue Apr 29 13:43:40 GMT 2025","failed","Tue Apr 29 13:44:20 GMT 2025","","Cars","",""
"","39309","Car 010","","Tue Apr 29 13:48:59 GMT 2025","failed","Tue Apr 29 13:49:39 GMT 2025","","Cars","",""
"","42142","Car 003","","Tue Apr 29 13:44:20 GMT 2025","failed","Tue Apr 29 13:45:02 GMT 2025","","Cars","",""
