"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 24 22:01:28 GMT 2024","Sat Feb 24 22:01:45 GMT 2024","16543","","Cars","","","","Car 007",""
"failed","Sat Feb 24 22:00:38 GMT 2024","Sat Feb 24 22:00:55 GMT 2024","17660","","Cars","","","","Car 004",""
"passed","Sat Feb 24 22:01:12 GMT 2024","Sat Feb 24 22:01:28 GMT 2024","16542","","Cars","","","","Car 006",""
"passed","Sat Feb 24 22:02:01 GMT 2024","Sat Feb 24 22:02:18 GMT 2024","16559","","Cars","","","","Car 009",""
"failed","Sat Feb 24 22:00:03 GMT 2024","Sat Feb 24 22:00:21 GMT 2024","17655","","Cars","","","","Car 002",""
"passed","Sat Feb 24 22:02:18 GMT 2024","Sat Feb 24 22:02:35 GMT 2024","16492","","Cars","","","","Car 010",""
"passed","Sat Feb 24 22:00:55 GMT 2024","Sat Feb 24 22:01:12 GMT 2024","16545","","Cars","","","","Car 005",""
"passed","Sat Feb 24 22:00:21 GMT 2024","Sat Feb 24 22:00:38 GMT 2024","16537","","Cars","","","","Car 003",""
"passed","Sat Feb 24 22:01:45 GMT 2024","Sat Feb 24 22:02:01 GMT 2024","16528","","Cars","","","","Car 008",""
"passed","Sat Feb 24 21:59:44 GMT 2024","Sat Feb 24 22:00:03 GMT 2024","19653","","Cars","","","","Car 001",""
