"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 23 23:41:43 GMT 2024","Fri Feb 23 23:41:59 GMT 2024","16073","","Cars","","","","Car 010",""
"passed","Fri Feb 23 23:41:10 GMT 2024","Fri Feb 23 23:41:26 GMT 2024","16075","","Cars","","","","Car 008",""
"passed","Fri Feb 23 23:40:22 GMT 2024","Fri Feb 23 23:40:38 GMT 2024","16186","","Cars","","","","Car 005",""
"failed","Fri Feb 23 23:40:05 GMT 2024","Fri Feb 23 23:40:22 GMT 2024","17213","","Cars","","","","Car 004",""
"passed","Fri Feb 23 23:40:38 GMT 2024","Fri Feb 23 23:40:54 GMT 2024","16051","","Cars","","","","Car 006",""
"passed","Fri Feb 23 23:40:54 GMT 2024","Fri Feb 23 23:41:10 GMT 2024","16124","","Cars","","","","Car 007",""
"passed","Fri Feb 23 23:39:49 GMT 2024","Fri Feb 23 23:40:05 GMT 2024","16130","","Cars","","","","Car 003",""
"passed","Fri Feb 23 23:39:16 GMT 2024","Fri Feb 23 23:39:32 GMT 2024","16774","","Cars","","","","Car 001",""
"passed","Fri Feb 23 23:39:32 GMT 2024","Fri Feb 23 23:39:49 GMT 2024","16153","","Cars","","","","Car 002",""
"passed","Fri Feb 23 23:41:26 GMT 2024","Fri Feb 23 23:41:43 GMT 2024","16247","","Cars","","","","Car 009",""
