"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Feb 26 13:36:37 GMT 2024","Mon Feb 26 13:36:54 GMT 2024","16346","","Cars","","","","Car 008",""
"failed","Mon Feb 26 13:35:34 GMT 2024","Mon Feb 26 13:35:50 GMT 2024","16336","","Cars","","","","Car 004",""
"failed","Mon Feb 26 13:35:18 GMT 2024","Mon Feb 26 13:35:34 GMT 2024","16387","","Cars","","","","Car 003",""
"passed","Mon Feb 26 13:36:54 GMT 2024","Mon Feb 26 13:37:09 GMT 2024","15180","","Cars","","","","Car 009",""
"passed","Mon Feb 26 13:36:07 GMT 2024","Mon Feb 26 13:36:22 GMT 2024","15163","","Cars","","","","Car 006",""
"passed","Mon Feb 26 13:36:22 GMT 2024","Mon Feb 26 13:36:37 GMT 2024","15213","","Cars","","","","Car 007",""
"failed","Mon Feb 26 13:35:50 GMT 2024","Mon Feb 26 13:36:07 GMT 2024","16324","","Cars","","","","Car 005",""
"failed","Mon Feb 26 13:37:09 GMT 2024","Mon Feb 26 13:37:25 GMT 2024","16283","","Cars","","","","Car 010",""
"passed","Mon Feb 26 13:34:46 GMT 2024","Mon Feb 26 13:35:01 GMT 2024","15354","","Cars","","","","Car 001",""
"failed","Mon Feb 26 13:35:01 GMT 2024","Mon Feb 26 13:35:18 GMT 2024","16278","","Cars","","","","Car 002",""
