"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 25 22:39:46 GMT 2024","Sun Feb 25 22:40:03 GMT 2024","16474","","Cars","","","","Car 007",""
"failed","Sun Feb 25 22:38:56 GMT 2024","Sun Feb 25 22:39:13 GMT 2024","17682","","Cars","","","","Car 004",""
"passed","Sun Feb 25 22:38:23 GMT 2024","Sun Feb 25 22:38:39 GMT 2024","16556","","Cars","","","","Car 002",""
"passed","Sun Feb 25 22:40:20 GMT 2024","Sun Feb 25 22:40:36 GMT 2024","16442","","Cars","","","","Car 009",""
"passed","Sun Feb 25 22:39:30 GMT 2024","Sun Feb 25 22:39:46 GMT 2024","16467","","Cars","","","","Car 006",""
"passed","Sun Feb 25 22:40:36 GMT 2024","Sun Feb 25 22:40:52 GMT 2024","16502","","Cars","","","","Car 010",""
"passed","Sun Feb 25 22:40:03 GMT 2024","Sun Feb 25 22:40:20 GMT 2024","16511","","Cars","","","","Car 008",""
"passed","Sun Feb 25 22:38:03 GMT 2024","Sun Feb 25 22:38:23 GMT 2024","20069","","Cars","","","","Car 001",""
"passed","Sun Feb 25 22:38:39 GMT 2024","Sun Feb 25 22:38:56 GMT 2024","16454","","Cars","","","","Car 003",""
"passed","Sun Feb 25 22:39:13 GMT 2024","Sun Feb 25 22:39:30 GMT 2024","16536","","Cars","","","","Car 005",""
