"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Feb 21 19:13:33 GMT 2024","Wed Feb 21 19:13:50 GMT 2024","16780","","Cars","","","","Car 003",""
"failed","Wed Feb 21 19:13:16 GMT 2024","Wed Feb 21 19:13:33 GMT 2024","16821","","Cars","","","","Car 002",""
"passed","Wed Feb 21 19:12:59 GMT 2024","Wed Feb 21 19:13:16 GMT 2024","17048","","Cars","","","","Car 001",""
"passed","Wed Feb 21 19:15:36 GMT 2024","Wed Feb 21 19:15:53 GMT 2024","16595","","Cars","","","","Car 010",""
"failed","Wed Feb 21 19:14:07 GMT 2024","Wed Feb 21 19:14:25 GMT 2024","17845","","Cars","","","","Car 005",""
"passed","Wed Feb 21 19:14:43 GMT 2024","Wed Feb 21 19:15:01 GMT 2024","18373","","Cars","","","","Car 007",""
"passed","Wed Feb 21 19:15:01 GMT 2024","Wed Feb 21 19:15:18 GMT 2024","16467","","Cars","","","","Car 008",""
"passed","Wed Feb 21 19:13:50 GMT 2024","Wed Feb 21 19:14:07 GMT 2024","17487","","Cars","","","","Car 004",""
"passed","Wed Feb 21 19:15:18 GMT 2024","Wed Feb 21 19:15:36 GMT 2024","18394","","Cars","","","","Car 009",""
"passed","Wed Feb 21 19:14:25 GMT 2024","Wed Feb 21 19:14:43 GMT 2024","17844","","Cars","","","","Car 006",""
