"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Feb 22 20:00:30 GMT 2024","Thu Feb 22 20:00:47 GMT 2024","16446","","Cars","","","","Car 002",""
"failed","Thu Feb 22 20:02:38 GMT 2024","Thu Feb 22 20:02:55 GMT 2024","16374","","Cars","","","","Car 010",""
"passed","Thu Feb 22 20:01:36 GMT 2024","Thu Feb 22 20:01:51 GMT 2024","15222","","Cars","","","","Car 006",""
"passed","Thu Feb 22 20:00:13 GMT 2024","Thu Feb 22 20:00:30 GMT 2024","16888","","Cars","","","","Car 001",""
"failed","Thu Feb 22 20:01:03 GMT 2024","Thu Feb 22 20:01:20 GMT 2024","16384","","Cars","","","","Car 004",""
"failed","Thu Feb 22 20:01:20 GMT 2024","Thu Feb 22 20:01:36 GMT 2024","16340","","Cars","","","","Car 005",""
"failed","Thu Feb 22 20:02:07 GMT 2024","Thu Feb 22 20:02:23 GMT 2024","16384","","Cars","","","","Car 008",""
"passed","Thu Feb 22 20:01:51 GMT 2024","Thu Feb 22 20:02:07 GMT 2024","15287","","Cars","","","","Car 007",""
"passed","Thu Feb 22 20:02:23 GMT 2024","Thu Feb 22 20:02:38 GMT 2024","15270","","Cars","","","","Car 009",""
"failed","Thu Feb 22 20:00:47 GMT 2024","Thu Feb 22 20:01:03 GMT 2024","16435","","Cars","","","","Car 003",""
