"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Feb 25 22:57:44 GMT 2024","Sun Feb 25 22:58:02 GMT 2024","17572","","Cars","","","","Car 004",""
"passed","Sun Feb 25 22:58:36 GMT 2024","Sun Feb 25 22:58:52 GMT 2024","16491","","Cars","","","","Car 007",""
"passed","Sun Feb 25 22:59:09 GMT 2024","Sun Feb 25 22:59:25 GMT 2024","16461","","Cars","","","","Car 009",""
"passed","Sun Feb 25 22:56:53 GMT 2024","Sun Feb 25 22:57:10 GMT 2024","16988","","Cars","","","","Car 001",""
"failed","Sun Feb 25 22:58:02 GMT 2024","Sun Feb 25 22:58:19 GMT 2024","17591","","Cars","","","","Car 005",""
"passed","Sun Feb 25 22:59:25 GMT 2024","Sun Feb 25 22:59:42 GMT 2024","16512","","Cars","","","","Car 010",""
"passed","Sun Feb 25 22:57:28 GMT 2024","Sun Feb 25 22:57:44 GMT 2024","16551","","Cars","","","","Car 003",""
"passed","Sun Feb 25 22:58:52 GMT 2024","Sun Feb 25 22:59:09 GMT 2024","16441","","Cars","","","","Car 008",""
"failed","Sun Feb 25 22:57:10 GMT 2024","Sun Feb 25 22:57:28 GMT 2024","17622","","Cars","","","","Car 002",""
"passed","Sun Feb 25 22:58:20 GMT 2024","Sun Feb 25 22:58:36 GMT 2024","16447","","Cars","","","","Car 006",""
