"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 26 13:13:41 GMT 2024","Mon Feb 26 13:13:58 GMT 2024","16970","","Cars","","","","Car 004",""
"failed","Mon Feb 26 13:13:20 GMT 2024","Mon Feb 26 13:13:41 GMT 2024","20978","","Cars","","","","Car 003",""
"passed","Mon Feb 26 13:12:44 GMT 2024","Mon Feb 26 13:13:02 GMT 2024","18346","","Cars","","","","Car 001",""
"passed","Mon Feb 26 13:15:19 GMT 2024","Mon Feb 26 13:15:36 GMT 2024","16224","","Cars","","","","Car 010",""
"passed","Mon Feb 26 13:14:47 GMT 2024","Mon Feb 26 13:15:03 GMT 2024","16231","","Cars","","","","Car 008",""
"passed","Mon Feb 26 13:14:14 GMT 2024","Mon Feb 26 13:14:31 GMT 2024","16217","","Cars","","","","Car 006",""
"passed","Mon Feb 26 13:14:31 GMT 2024","Mon Feb 26 13:14:47 GMT 2024","16276","","Cars","","","","Car 007",""
"passed","Mon Feb 26 13:15:03 GMT 2024","Mon Feb 26 13:15:19 GMT 2024","16223","","Cars","","","","Car 009",""
"passed","Mon Feb 26 13:13:58 GMT 2024","Mon Feb 26 13:14:14 GMT 2024","16220","","Cars","","","","Car 005",""
"passed","Mon Feb 26 13:13:02 GMT 2024","Mon Feb 26 13:13:20 GMT 2024","18003","","Cars","","","","Car 002",""
