"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Config Car","Luxus","0","0","3","0","0"
"","Config Car","No Package","1","0","3","0","0"
"","Config Car","Gomera","0","0","3","0","0"
