"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 24 22:15:55 GMT 2024","Sat Feb 24 22:16:11 GMT 2024","15765","","Cars","","","","Car 006",""
"failed","Sat Feb 24 22:15:04 GMT 2024","Sat Feb 24 22:15:21 GMT 2024","16915","","Cars","","","","Car 003",""
"passed","Sat Feb 24 22:14:31 GMT 2024","Sat Feb 24 22:14:47 GMT 2024","16581","","Cars","","","","Car 001",""
"passed","Sat Feb 24 22:16:59 GMT 2024","Sat Feb 24 22:17:15 GMT 2024","15676","","Cars","","","","Car 010",""
"failed","Sat Feb 24 22:15:38 GMT 2024","Sat Feb 24 22:15:55 GMT 2024","16941","","Cars","","","","Car 005",""
"failed","Sat Feb 24 22:14:47 GMT 2024","Sat Feb 24 22:15:04 GMT 2024","16995","","Cars","","","","Car 002",""
"failed","Sat Feb 24 22:16:27 GMT 2024","Sat Feb 24 22:16:43 GMT 2024","16777","","Cars","","","","Car 008",""
"passed","Sat Feb 24 22:16:11 GMT 2024","Sat Feb 24 22:16:27 GMT 2024","15656","","Cars","","","","Car 007",""
"failed","Sat Feb 24 22:15:21 GMT 2024","Sat Feb 24 22:15:38 GMT 2024","16872","","Cars","","","","Car 004",""
"passed","Sat Feb 24 22:16:43 GMT 2024","Sat Feb 24 22:16:59 GMT 2024","15643","","Cars","","","","Car 009",""
