"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","4","Config Car","0","0","No Package","0"
"0","","3","Config Car","0","0","Luxus","0"
"0","","3","Config Car","0","0","Gomera","0"
