"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 24 09:55:35 GMT 2024","Sat Feb 24 09:55:50 GMT 2024","15409","","Cars","","","","Car 009",""
"failed","Sat Feb 24 09:54:14 GMT 2024","Sat Feb 24 09:54:31 GMT 2024","16458","","Cars","","","","Car 004",""
"failed","Sat Feb 24 09:55:50 GMT 2024","Sat Feb 24 09:56:06 GMT 2024","16353","","Cars","","","","Car 010",""
"failed","Sat Feb 24 09:55:18 GMT 2024","Sat Feb 24 09:55:35 GMT 2024","16462","","Cars","","","","Car 008",""
"passed","Sat Feb 24 09:53:25 GMT 2024","Sat Feb 24 09:53:41 GMT 2024","15781","","Cars","","","","Car 001",""
"failed","Sat Feb 24 09:53:58 GMT 2024","Sat Feb 24 09:54:14 GMT 2024","16589","","Cars","","","","Car 003",""
"failed","Sat Feb 24 09:54:31 GMT 2024","Sat Feb 24 09:54:47 GMT 2024","16474","","Cars","","","","Car 005",""
"failed","Sat Feb 24 09:53:41 GMT 2024","Sat Feb 24 09:53:58 GMT 2024","16518","","Cars","","","","Car 002",""
"passed","Sat Feb 24 09:54:47 GMT 2024","Sat Feb 24 09:55:03 GMT 2024","15412","","Cars","","","","Car 006",""
"passed","Sat Feb 24 09:55:03 GMT 2024","Sat Feb 24 09:55:18 GMT 2024","15375","","Cars","","","","Car 007",""
