"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 26 11:40:30 GMT 2024","Mon Feb 26 11:40:47 GMT 2024","16493","","Cars","","","","Car 005",""
"failed","Mon Feb 26 11:40:12 GMT 2024","Mon Feb 26 11:40:30 GMT 2024","17587","","Cars","","","","Car 004",""
"passed","Mon Feb 26 11:41:03 GMT 2024","Mon Feb 26 11:41:19 GMT 2024","16478","","Cars","","","","Car 007",""
"passed","Mon Feb 26 11:39:18 GMT 2024","Mon Feb 26 11:39:38 GMT 2024","19705","","Cars","","","","Car 001",""
"passed","Mon Feb 26 11:41:36 GMT 2024","Mon Feb 26 11:41:53 GMT 2024","16453","","Cars","","","","Car 009",""
"passed","Mon Feb 26 11:40:47 GMT 2024","Mon Feb 26 11:41:03 GMT 2024","16389","","Cars","","","","Car 006",""
"passed","Mon Feb 26 11:41:19 GMT 2024","Mon Feb 26 11:41:36 GMT 2024","16682","","Cars","","","","Car 008",""
"failed","Mon Feb 26 11:41:53 GMT 2024","Mon Feb 26 11:42:10 GMT 2024","17542","","Cars","","","","Car 010",""
"passed","Mon Feb 26 11:39:38 GMT 2024","Mon Feb 26 11:39:55 GMT 2024","16575","","Cars","","","","Car 002",""
"failed","Mon Feb 26 11:39:55 GMT 2024","Mon Feb 26 11:40:12 GMT 2024","17674","","Cars","","","","Car 003",""
