"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Feb 27 07:51:04 GMT 2024","Tue Feb 27 07:51:21 GMT 2024","16504","","Cars","","","","Car 002",""
"failed","Tue Feb 27 07:51:54 GMT 2024","Tue Feb 27 07:52:11 GMT 2024","16359","","Cars","","","","Car 005",""
"passed","Tue Feb 27 07:52:27 GMT 2024","Tue Feb 27 07:52:43 GMT 2024","16277","","Cars","","","","Car 007",""
"failed","Tue Feb 27 07:51:38 GMT 2024","Tue Feb 27 07:51:54 GMT 2024","16439","","Cars","","","","Car 004",""
"passed","Tue Feb 27 07:53:00 GMT 2024","Tue Feb 27 07:53:17 GMT 2024","16658","","Cars","","","","Car 009",""
"failed","Tue Feb 27 07:52:43 GMT 2024","Tue Feb 27 07:53:00 GMT 2024","17329","","Cars","","","","Car 008",""
"failed","Tue Feb 27 07:51:21 GMT 2024","Tue Feb 27 07:51:38 GMT 2024","16991","","Cars","","","","Car 003",""
"passed","Tue Feb 27 07:52:11 GMT 2024","Tue Feb 27 07:52:27 GMT 2024","15801","","Cars","","","","Car 006",""
"passed","Tue Feb 27 07:50:48 GMT 2024","Tue Feb 27 07:51:04 GMT 2024","16788","","Cars","","","","Car 001",""
"failed","Tue Feb 27 07:53:17 GMT 2024","Tue Feb 27 07:53:34 GMT 2024","17091","","Cars","","","","Car 010",""
