"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 23 22:48:39 GMT 2024","Fri Feb 23 22:48:56 GMT 2024","17288","","Cars","","","","Car 006",""
"passed","Fri Feb 23 22:49:45 GMT 2024","Fri Feb 23 22:50:02 GMT 2024","16473","","Cars","","","","Car 010",""
"passed","Fri Feb 23 22:48:06 GMT 2024","Fri Feb 23 22:48:22 GMT 2024","16660","","Cars","","","","Car 004",""
"passed","Fri Feb 23 22:48:56 GMT 2024","Fri Feb 23 22:49:13 GMT 2024","16244","","Cars","","","","Car 007",""
"passed","Fri Feb 23 22:49:13 GMT 2024","Fri Feb 23 22:49:29 GMT 2024","16243","","Cars","","","","Car 008",""
"passed","Fri Feb 23 22:48:22 GMT 2024","Fri Feb 23 22:48:39 GMT 2024","16673","","Cars","","","","Car 005",""
"passed","Fri Feb 23 22:47:14 GMT 2024","Fri Feb 23 22:47:31 GMT 2024","17292","","Cars","","","","Car 001",""
"failed","Fri Feb 23 22:47:31 GMT 2024","Fri Feb 23 22:47:49 GMT 2024","17738","","Cars","","","","Car 002",""
"passed","Fri Feb 23 22:47:49 GMT 2024","Fri Feb 23 22:48:06 GMT 2024","16665","","Cars","","","","Car 003",""
"passed","Fri Feb 23 22:49:29 GMT 2024","Fri Feb 23 22:49:45 GMT 2024","16178","","Cars","","","","Car 009",""
