"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Feb 24 22:06:19 GMT 2024","Sat Feb 24 22:06:37 GMT 2024","18102","","Cars","","","","Car 003",""
"failed","Sat Feb 24 22:08:22 GMT 2024","Sat Feb 24 22:08:42 GMT 2024","19998","","Cars","","","","Car 010",""
"passed","Sat Feb 24 22:06:56 GMT 2024","Sat Feb 24 22:07:13 GMT 2024","16508","","Cars","","","","Car 005",""
"failed","Sat Feb 24 22:06:37 GMT 2024","Sat Feb 24 22:06:56 GMT 2024","18735","","Cars","","","","Car 004",""
"failed","Sat Feb 24 22:07:46 GMT 2024","Sat Feb 24 22:08:05 GMT 2024","19049","","Cars","","","","Car 008",""
"passed","Sat Feb 24 22:07:29 GMT 2024","Sat Feb 24 22:07:46 GMT 2024","16942","","Cars","","","","Car 007",""
"failed","Sat Feb 24 22:06:03 GMT 2024","Sat Feb 24 22:06:19 GMT 2024","16553","","Cars","","","","Car 002",""
"passed","Sat Feb 24 22:07:13 GMT 2024","Sat Feb 24 22:07:29 GMT 2024","16607","","Cars","","","","Car 006",""
"passed","Sat Feb 24 22:05:47 GMT 2024","Sat Feb 24 22:06:03 GMT 2024","15520","","Cars","","","","Car 001",""
"passed","Sat Feb 24 22:08:05 GMT 2024","Sat Feb 24 22:08:22 GMT 2024","16218","","Cars","","","","Car 009",""
