"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 23 23:05:01 GMT 2024","Fri Feb 23 23:05:17 GMT 2024","16235","","Cars","","","","Car 010",""
"passed","Fri Feb 23 23:03:55 GMT 2024","Fri Feb 23 23:04:11 GMT 2024","16271","","Cars","","","","Car 006",""
"passed","Fri Feb 23 23:04:11 GMT 2024","Fri Feb 23 23:04:28 GMT 2024","16222","","Cars","","","","Car 007",""
"passed","Fri Feb 23 23:04:45 GMT 2024","Fri Feb 23 23:05:01 GMT 2024","16258","","Cars","","","","Car 009",""
"passed","Fri Feb 23 23:03:06 GMT 2024","Fri Feb 23 23:03:22 GMT 2024","16302","","Cars","","","","Car 003",""
"passed","Fri Feb 23 23:02:49 GMT 2024","Fri Feb 23 23:03:06 GMT 2024","16404","","Cars","","","","Car 002",""
"passed","Fri Feb 23 23:03:38 GMT 2024","Fri Feb 23 23:03:55 GMT 2024","16653","","Cars","","","","Car 005",""
"passed","Fri Feb 23 23:02:33 GMT 2024","Fri Feb 23 23:02:49 GMT 2024","16724","","Cars","","","","Car 001",""
"passed","Fri Feb 23 23:03:22 GMT 2024","Fri Feb 23 23:03:38 GMT 2024","16305","","Cars","","","","Car 004",""
"failed","Fri Feb 23 23:04:28 GMT 2024","Fri Feb 23 23:04:45 GMT 2024","17344","","Cars","","","","Car 008",""
