"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 18 14:10:23 GMT 2024","Sun Feb 18 14:10:33 GMT 2024","10286","","Cars","","","","Car 009",""
"failed","Sun Feb 18 14:10:11 GMT 2024","Sun Feb 18 14:10:23 GMT 2024","11311","","Cars","","","","Car 008",""
"passed","Sun Feb 18 14:08:56 GMT 2024","Sun Feb 18 14:09:07 GMT 2024","10866","","Cars","","","","Car 001",""
"passed","Sun Feb 18 14:10:01 GMT 2024","Sun Feb 18 14:10:11 GMT 2024","10310","","Cars","","","","Car 007",""
"failed","Sun Feb 18 14:09:39 GMT 2024","Sun Feb 18 14:09:51 GMT 2024","11341","","Cars","","","","Car 005",""
"failed","Sun Feb 18 14:09:07 GMT 2024","Sun Feb 18 14:09:19 GMT 2024","11408","","Cars","","","","Car 002",""
"passed","Sun Feb 18 14:09:51 GMT 2024","Sun Feb 18 14:10:01 GMT 2024","10272","","Cars","","","","Car 006",""
"passed","Sun Feb 18 14:10:33 GMT 2024","Sun Feb 18 14:10:43 GMT 2024","10180","","Cars","","","","Car 010",""
"passed","Sun Feb 18 14:09:29 GMT 2024","Sun Feb 18 14:09:39 GMT 2024","10249","","Cars","","","","Car 004",""
"passed","Sun Feb 18 14:09:19 GMT 2024","Sun Feb 18 14:09:29 GMT 2024","10475","","Cars","","","","Car 003",""
