"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Feb 18 14:34:41 GMT 2024","Sun Feb 18 14:34:59 GMT 2024","17767","","Cars","","","","Car 010",""
"failed","Sun Feb 18 14:33:16 GMT 2024","Sun Feb 18 14:33:34 GMT 2024","17708","","Cars","","","","Car 005",""
"passed","Sun Feb 18 14:32:05 GMT 2024","Sun Feb 18 14:32:23 GMT 2024","17433","","Cars","","","","Car 001",""
"failed","Sun Feb 18 14:32:23 GMT 2024","Sun Feb 18 14:32:40 GMT 2024","17766","","Cars","","","","Car 002",""
"passed","Sun Feb 18 14:34:25 GMT 2024","Sun Feb 18 14:34:41 GMT 2024","16609","","Cars","","","","Car 009",""
"passed","Sun Feb 18 14:33:50 GMT 2024","Sun Feb 18 14:34:07 GMT 2024","16609","","Cars","","","","Car 007",""
"failed","Sun Feb 18 14:32:58 GMT 2024","Sun Feb 18 14:33:16 GMT 2024","17723","","Cars","","","","Car 004",""
"failed","Sun Feb 18 14:34:07 GMT 2024","Sun Feb 18 14:34:25 GMT 2024","17778","","Cars","","","","Car 008",""
"passed","Sun Feb 18 14:33:34 GMT 2024","Sun Feb 18 14:33:50 GMT 2024","16619","","Cars","","","","Car 006",""
"failed","Sun Feb 18 14:32:40 GMT 2024","Sun Feb 18 14:32:58 GMT 2024","17704","","Cars","","","","Car 003",""
